X,CH1,
Second,Volt,
-7.6969992e-03,1.52000e+00,
-7.6959990e-03,1.52000e+00,
-7.6949992e-03,1.52000e+00,
-7.6939990e-03,1.52000e+00,
-7.6929992e-03,1.52000e+00,
-7.6919990e-03,1.52000e+00,
-7.6909992e-03,1.52000e+00,
-7.6899990e-03,1.52000e+00,
-7.6889992e-03,1.52000e+00,
-7.6879989e-03,1.52000e+00,
-7.6869992e-03,1.52000e+00,
-7.6859989e-03,1.52000e+00,
-7.6849991e-03,1.52000e+00,
-7.6839989e-03,1.52000e+00,
-7.6829991e-03,1.52000e+00,
-7.6819989e-03,1.52000e+00,
-7.6809991e-03,1.54000e+00,
-7.6799989e-03,1.52000e+00,
-7.6789991e-03,1.52000e+00,
-7.6779989e-03,1.54000e+00,
-7.6769991e-03,1.52000e+00,
-7.6759988e-03,1.52000e+00,
-7.6749991e-03,1.52000e+00,
-7.6739988e-03,1.52000e+00,
-7.6729991e-03,1.52000e+00,
-7.6719993e-03,1.54000e+00,
-7.6709990e-03,1.54000e+00,
-7.6699993e-03,-1.50000e+00,
-7.6689990e-03,-1.48000e+00,
-7.6679992e-03,-1.48000e+00,
-7.6669990e-03,-1.48000e+00,
-7.6659992e-03,-1.48000e+00,
-7.6649990e-03,-1.48000e+00,
-7.6639992e-03,-1.48000e+00,
-7.6629990e-03,-1.48000e+00,
-7.6619992e-03,-1.48000e+00,
-7.6609990e-03,-1.50000e+00,
-7.6599992e-03,-1.48000e+00,
-7.6589989e-03,-1.48000e+00,
-7.6579992e-03,-1.50000e+00,
-7.6569989e-03,-1.48000e+00,
-7.6559992e-03,-1.50000e+00,
-7.6549989e-03,-1.48000e+00,
-7.6539991e-03,-1.50000e+00,
-7.6529989e-03,-1.50000e+00,
-7.6519991e-03,-1.48000e+00,
-7.6509989e-03,-1.48000e+00,
-7.6499991e-03,-1.48000e+00,
-7.6489989e-03,-1.48000e+00,
-7.6479991e-03,-1.48000e+00,
-7.6469989e-03,-1.50000e+00,
-7.6459991e-03,-1.48000e+00,
-7.6449988e-03,-1.48000e+00,
-7.6439991e-03,-1.48000e+00,
-7.6429988e-03,-1.50000e+00,
-7.6419991e-03,-1.50000e+00,
-7.6409993e-03,-1.48000e+00,
-7.6399990e-03,-1.48000e+00,
-7.6389993e-03,-1.48000e+00,
-7.6379990e-03,-1.50000e+00,
-7.6369992e-03,-1.50000e+00,
-7.6359990e-03,-1.50000e+00,
-7.6349992e-03,-1.48000e+00,
-7.6339990e-03,-1.48000e+00,
-7.6329992e-03,-1.48000e+00,
-7.6319990e-03,-1.50000e+00,
-7.6309992e-03,-1.50000e+00,
-7.6299990e-03,-1.48000e+00,
-7.6289992e-03,-1.50000e+00,
-7.6279989e-03,-1.50000e+00,
-7.6269992e-03,-1.48000e+00,
-7.6259989e-03,-1.50000e+00,
-7.6249992e-03,-1.48000e+00,
-7.6239989e-03,-1.48000e+00,
-7.6229991e-03,-1.48000e+00,
-7.6219989e-03,-1.50000e+00,
-7.6209991e-03,-1.48000e+00,
-7.6199989e-03,-1.48000e+00,
